@0 patient(1)
@0 pump(1)
@0 action(1)
@0 dental(1)
@0 patient(2)
@0 pump(2)
@0 action(2)
@0 dental(2)
@0 patient(3)
@0 pump(3)
@0 action(3)
@0 dental(3)
@0 patient(4)
@0 pump(4)
@0 action(4)
@0 dental(4)
@0 patient(5)
@0 pump(5)
@0 action(5)
@0 dental(5)
@1 pump_on(1, 1)
@2 action_type(1, antibiotics)
@3 action_by(1, 1)
@5 dental_on(1, 1)
@6 dental_on(2, 2)
@7 pump_on(2, 2)
@8 action_type(2, antibiotics)
@9 action_by(2, 2)
@10 pump_on(3, 3)
@11 action_type(3, antibiotics)
@12 action_by(3, 3)
@13 dental_on(3, 3)
@14 pump_on(3, 3)
@15 action_type(3, antibiotics)
@16 action_by(3, 3)
@17 dental_on(4, 4)
@18 dental_on(5, 5)
@8000 pump_on(5, 5)
@8001 action_type(5, antibiotics)
@8002 action_by(5, 5)
